loss_mse 0.000044    loss_niqe 8568.243948   loss_pi: 8510.261564 
loss_mse 0.000044    loss_niqe 8560.627118   loss_pi: 8509.185139 
loss_mse 0.000044    loss_niqe 8568.276466   loss_pi: 8513.243351 
loss_mse 0.000044    loss_niqe 8566.480819   loss_pi: 8516.176862 
loss_mse 0.000044    loss_niqe 8564.566795   loss_pi: 8517.179944 
loss_mse 0.000045    loss_niqe 8560.258696   loss_pi: 8507.428860 
loss_mse 0.000044    loss_niqe 8551.606782   loss_pi: 8504.616790 
loss_mse 0.000044    loss_niqe 8553.402314   loss_pi: 8499.110865 
loss_mse 0.000044    loss_niqe 8547.684053   loss_pi: 8506.952188 
loss_mse 0.000044    loss_niqe 8570.115157   loss_pi: 8516.160057 
loss_mse 0.000044    loss_niqe 8548.786605   loss_pi: 8512.913082 
loss_mse 0.000044    loss_niqe 8545.929814   loss_pi: 8507.601875 
loss_mse 0.000044    loss_niqe 8549.460404   loss_pi: 8508.172551 
loss_mse 0.000044    loss_niqe 8551.401975   loss_pi: 8508.647046 
loss_mse 0.000044    loss_niqe 8544.644631   loss_pi: 8504.599789 
loss_mse 0.000044    loss_niqe 8545.849761   loss_pi: 8507.410676 
loss_mse 0.000044    loss_niqe 8550.272865   loss_pi: 8505.220813 
loss_mse 0.000044    loss_niqe 8534.994722   loss_pi: 8504.991279 
loss_mse 0.000044    loss_niqe 8544.029987   loss_pi: 8509.431263 
loss_mse 0.000044    loss_niqe 8550.547469   loss_pi: 8501.694296 
loss_mse 0.000044    loss_niqe 8560.897127   loss_pi: 8509.244035 
loss_mse 0.000044    loss_niqe 8530.845486   loss_pi: 8497.683415 
loss_mse 0.000044    loss_niqe 8530.286786   loss_pi: 8488.779025 
loss_mse 0.000044    loss_niqe 8527.213571   loss_pi: 8493.774545 
loss_mse 0.000044    loss_niqe 8537.779449   loss_pi: 8501.946826 
loss_mse 0.000043    loss_niqe 8526.550512   loss_pi: 8493.105097 
loss_mse 0.000044    loss_niqe 8542.051612   loss_pi: 8506.762864 
