step 1840.000000    loss_mse 0.000054    loss_niqe 9012.184814   loss_pi: 8749.649939 
step 1850.000000    loss_mse 0.000053    loss_niqe 9000.027448   loss_pi: 8738.163409 
step 1860.000000    loss_mse 0.000053    loss_niqe 8995.410951   loss_pi: 8739.656041 
step 1870.000000    loss_mse 0.000054    loss_niqe 8965.320088   loss_pi: 8734.738428 
step 1880.000000    loss_mse 0.000054    loss_niqe 9022.924017   loss_pi: 8756.703356 
step 1890.000000    loss_mse 0.000054    loss_niqe 9003.906149   loss_pi: 8737.186681 
step 1900.000000    loss_mse 0.000054    loss_niqe 9005.012464   loss_pi: 8745.756306 
step 1910.000000    loss_mse 0.000054    loss_niqe 9002.072613   loss_pi: 8743.948398 
step 1920.000000    loss_mse 0.000054    loss_niqe 8999.794430   loss_pi: 8739.875763 
step 1930.000000    loss_mse 0.000054    loss_niqe 9026.899444   loss_pi: 8743.848142 
step 1940.000000    loss_mse 0.000055    loss_niqe 8977.530527   loss_pi: 8721.526597 
step 1950.000000    loss_mse 0.000055    loss_niqe 9018.687413   loss_pi: 8745.948176 
step 1960.000000    loss_mse 0.000055    loss_niqe 9015.320761   loss_pi: 8753.591258 
step 1970.000000    loss_mse 0.000055    loss_niqe 9011.573138   loss_pi: 8740.710976 
step 1980.000000    loss_mse 0.000055    loss_niqe 9020.668232   loss_pi: 8752.070059 
step 1990.000000    loss_mse 0.000055    loss_niqe 9020.307573   loss_pi: 8740.078642 
step 2000.000000    loss_mse 0.000055    loss_niqe 9001.024251   loss_pi: 8741.219079 
step 2010.000000    loss_mse 0.000055    loss_niqe 9013.541405   loss_pi: 8742.024649 
step 2020.000000    loss_mse 0.000055    loss_niqe 9026.292644   loss_pi: 8755.168505 
step 2030.000000    loss_mse 0.000055    loss_niqe 9027.672461   loss_pi: 8751.329512 
step 2040.000000    loss_mse 0.000055    loss_niqe 9001.895360   loss_pi: 8747.418302 
step 2050.000000    loss_mse 0.000055    loss_niqe 9006.876394   loss_pi: 8745.274156 
step 2060.000000    loss_mse 0.000055    loss_niqe 9023.138556   loss_pi: 8750.214078 
step 2070.000000    loss_mse 0.000055    loss_niqe 9006.345584   loss_pi: 8740.455372 
step 2080.000000    loss_mse 0.000055    loss_niqe 9015.068533   loss_pi: 8754.279010 
step 2090.000000    loss_mse 0.000056    loss_niqe 9008.813828   loss_pi: 8744.035098 
step 2100.000000    loss_mse 0.000056    loss_niqe 9029.649477   loss_pi: 8748.353709 
step 2110.000000    loss_mse 0.000056    loss_niqe 9002.800443   loss_pi: 8735.561122 
step 2120.000000    loss_mse 0.000055    loss_niqe 9013.531370   loss_pi: 8743.602117 
